Categoria: Todas as categorias

Mês,Jair Bolsonaro: (Brasil),Luiz Inácio Lula da Silva: (Brasil),Marina Silva: (Brasil)
2004-01,<1,6,<1
2004-02,<1,5,<1
2004-03,<1,7,<1
2004-04,1,8,<1
2004-05,<1,12,<1
2004-06,<1,8,<1
2004-07,<1,5,<1
2004-08,<1,6,<1
2004-09,<1,6,<1
2004-10,<1,6,<1
2004-11,<1,9,<1
2004-12,<1,5,<1
2005-01,<1,7,<1
2005-02,<1,5,<1
2005-03,<1,5,<1
2005-04,1,5,<1
2005-05,1,6,<1
2005-06,1,7,<1
2005-07,1,7,<1
2005-08,<1,11,<1
2005-09,<1,7,<1
2005-10,<1,7,<1
2005-11,<1,9,<1
2005-12,<1,4,<1
2006-01,<1,4,<1
2006-02,<1,5,<1
2006-03,<1,6,<1
2006-04,<1,6,<1
2006-05,<1,6,<1
2006-06,<1,6,<1
2006-07,<1,5,<1
2006-08,<1,9,<1
2006-09,<1,19,<1
2006-10,<1,36,<1
2006-11,<1,9,<1
2006-12,<1,4,<1
2007-01,<1,4,<1
2007-02,<1,3,<1
2007-03,<1,4,<1
2007-04,<1,4,<1
2007-05,<1,4,<1
2007-06,<1,4,<1
2007-07,<1,5,<1
2007-08,1,4,<1
2007-09,1,4,<1
2007-10,1,5,<1
2007-11,1,5,<1
2007-12,1,3,<1
2008-01,1,3,<1
2008-02,1,3,<1
2008-03,1,4,<1
2008-04,2,4,<1
2008-05,1,3,1
2008-06,<1,4,<1
2008-07,<1,3,<1
2008-08,<1,3,<1
2008-09,<1,5,<1
2008-10,<1,4,<1
2008-11,<1,5,<1
2008-12,<1,3,<1
2009-01,<1,3,<1
2009-02,<1,3,<1
2009-03,<1,4,<1
2009-04,<1,6,<1
2009-05,<1,4,<1
2009-06,<1,4,<1
2009-07,<1,3,<1
2009-08,<1,3,1
2009-09,<1,4,1
2009-10,<1,5,<1
2009-11,<1,7,<1
2009-12,<1,6,<1
2010-01,<1,8,<1
2010-02,<1,5,<1
2010-03,<1,5,<1
2010-04,<1,5,1
2010-05,<1,5,1
2010-06,<1,5,1
2010-07,<1,4,1
2010-08,<1,5,3
2010-09,<1,8,7
2010-10,<1,10,13
2010-11,<1,5,<1
2010-12,<1,4,<1
2011-01,<1,3,<1
2011-02,<1,2,<1
2011-03,2,2,<1
2011-04,3,2,<1
2011-05,2,2,<1
2011-06,1,2,<1
2011-07,<1,2,<1
2011-08,<1,2,<1
2011-09,<1,2,<1
2011-10,<1,4,<1
2011-11,<1,6,<1
2011-12,<1,2,<1
2012-01,<1,2,<1
2012-02,<1,3,<1
2012-03,<1,2,<1
2012-04,<1,2,<1
2012-05,<1,3,<1
2012-06,<1,2,<1
2012-07,<1,2,<1
2012-08,<1,2,<1
2012-09,<1,3,<1
2012-10,<1,4,<1
2012-11,<1,3,<1
2012-12,<1,3,<1
2013-01,<1,3,<1
2013-02,<1,2,<1
2013-03,<1,2,<1
2013-04,<1,2,<1
2013-05,<1,2,<1
2013-06,<1,4,<1
2013-07,<1,3,<1
2013-08,<1,2,<1
2013-09,<1,2,<1
2013-10,<1,2,1
2013-11,<1,2,<1
2013-12,<1,2,<1
2014-01,<1,1,<1
2014-02,1,2,<1
2014-03,1,2,<1
2014-04,1,2,<1
2014-05,2,3,<1
2014-06,1,3,<1
2014-07,<1,2,<1
2014-08,1,3,10
2014-09,1,3,9
2014-10,4,10,9
2014-11,1,3,<1
2014-12,4,2,<1
2015-01,1,2,<1
2015-02,1,5,<1
2015-03,1,4,<1
2015-04,1,3,<1
2015-05,1,4,<1
2015-06,1,5,<1
2015-07,1,4,<1
2015-08,1,5,<1
2015-09,1,6,<1
2015-10,2,5,<1
2015-11,2,5,<1
2015-12,2,4,<1
2016-01,2,4,<1
2016-02,3,6,<1
2016-03,6,68,1
2016-04,12,11,<1
2016-05,4,8,<1
2016-06,4,4,<1
2016-07,3,4,<1
2016-08,2,4,<1
2016-09,3,11,<1
2016-10,3,7,<1
2016-11,4,6,<1
2016-12,2,6,<1
2017-01,3,7,<1
2017-02,4,13,<1
2017-03,5,7,<1
2017-04,5,8,<1
2017-05,7,21,<1
2017-06,4,7,<1
2017-07,4,16,<1
2017-08,6,7,<1
2017-09,5,10,<1
2017-10,7,6,<1
2017-11,6,6,<1
2017-12,6,7,<1
2018-01,8,40,<1
2018-02,7,11,<1
2018-03,9,21,<1
2018-04,11,100,1
2018-05,7,15,<1
2018-06,7,12,<1
2018-07,14,26,1
2018-08,36,32,2
