month, presidente
2004-01,16
2004-02,17
2004-03,19
2004-04,16
2004-05,19
2004-06,17
2004-07,16
2004-08,18
2004-09,18
2004-10,18
2004-11,23
2004-12,14
2005-01,17
2005-02,17
2005-03,18
2005-04,19
2005-05,18
2005-06,18
2005-07,17
2005-08,21
2005-09,19
2005-10,19
2005-11,21
2005-12,16
2006-01,17
2006-02,18
2006-03,19
2006-04,17
2006-05,20
2006-06,17
2006-07,15
2006-08,20
2006-09,33
2006-10,34
2006-11,19
2006-12,14
2007-01,14
2007-02,14
2007-03,16
2007-04,15
2007-05,16
2007-06,16
2007-07,14
2007-08,15
2007-09,15
2007-10,16
2007-11,17
2007-12,14
2008-01,15
2008-02,16
2008-03,17
2008-04,17
2008-05,17
2008-06,16
2008-07,15
2008-08,16
2008-09,18
2008-10,19
2008-11,21
2008-12,17
2009-01,19
2009-02,19
2009-03,20
2009-04,19
2009-05,19
2009-06,18
2009-07,18
2009-08,18
2009-09,20
2009-10,20
2009-11,23
2009-12,19
2010-01,19
2010-02,20
2010-03,21
2010-04,22
2010-05,22
2010-06,21
2010-07,20
2010-08,26
2010-09,38
2010-10,59
2010-11,26
2010-12,19
2011-01,22
2011-02,20
2011-03,21
2011-04,19
2011-05,20
2011-06,18
2011-07,17
2011-08,19
2011-09,18
2011-10,18
2011-11,19
2011-12,17
2012-01,18
2012-02,19
2012-03,18
2012-04,18
2012-05,19
2012-06,18
2012-07,17
2012-08,18
2012-09,19
2012-10,21
2012-11,19
2012-12,17
2013-01,18
2013-02,18
2013-03,18
2013-04,19
2013-05,18
2013-06,22
2013-07,18
2013-08,18
2013-09,19
2013-10,19
2013-11,19
2013-12,18
2014-01,18
2014-02,20
2014-03,20
2014-04,21
2014-05,22
2014-06,22
2014-07,22
2014-08,32
2014-09,38
2014-10,100
2014-11,22
2014-12,21
2015-01,22
2015-02,25
2015-03,24
2015-04,21
2015-05,21
2015-06,21
2015-07,21
2015-08,23
2015-09,24
2015-10,25
2015-11,24
2015-12,25
2016-01,21
2016-02,22
2016-03,31
2016-04,30
2016-05,28
2016-06,21
2016-07,22
2016-08,21
2016-09,24
2016-10,24
2016-11,28
2016-12,23
